Q_NUMBER,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,IMAGE
22,The following sign represents..,First aid post,Resting place,Hospital,Petrol Pump,3,
23,Driver of a vehicle may overtake …,while driving down hill, If the road is sufficiently wide,When the driver of the vehicle in front shows        the signal to overtake,,3,
24,The following sign represents..,First aid post,Resting place,Hospital,,1,
25,Driver of a motor vehicle shall drive through,The right side of the road,The left side of the road,The Center of the road,,2,
26,The following sign represents..,Hospital,Resting place,First aid post,Petrol Pump,2,
27,When a Vehicle is parked on the road side during night,The vehicle should be locked,The person having licence to drive such a vehicle  should be in  the drivers seat,The park light shall remain lit,,3,
28,The following sign represents..,Road closed,No parking,End of speed restriction,,3,
29,Fog lamps are used ,During night.,When there is mist.,When the opposite vehicle is not using dim light,,2,
30,The following sign represents..,Narrow road ahead,Narrow bridge ahead,Roads on both sides ahead,No Entry,1,
31,Zebra lines are meant for..,stopping vehicle.,pedestrians crossing,for giving preference to vehicle,,2,
32,The following sign represents..,Railway station near,Level crossing unguarded,Level crossing Guarded,,2,
33,When an ambulance is approaching ..,allow passage if there are no vehicles from front  side.,no preference need be given.,the driver shall allow free passage by drawing to   the side of the road,"Yes, If there is
Green light",3,
34,The following sign represents..,Entry through right side prohibited,Entry through left prohibited,Overtaking prohibited,,3,
35,Red traffic light indicates ..,vehicle can proceed with caution.,stop the vehicle.,slow down.,"Do not stop the 
vehicle.",2,
36,The following sign represents..,Cross road,No entry,Hospital,,1,
37,Parking a vehicle in front of entrance to hospital,Proper,Improper,Proper if   NO PARKING  sign is not provided,,2,
38,The following sign represents..,Restriction ends,No entry,No overtaking,All are correct,2,
39,"Where the slippery road sign is seen on the road, the driver shall",reduce the speed by changing the gear,apply brake,proceed in the same speed,,1,
40,The following sign represents..,May turn to left,Compulsory go ahead or turn left,Side road left,"Compulsory
turn right",3,
41,Overtaking is prohibited in following   circumstances,when it is likely to cause inconvenience or  danger to other traffic,when the vehicle in front is reducing speed,during night,,1,
42,The following sign represents..,Sound horn compulsory,Sound horn continuously,Horn prohibited,Horn Allowed,1,
43,Overtaking when approaching a bend,is permissible,not permissible,is permissible with care,,2,
44,The following sign represents..,Road to the right in front,Compulsory turn right,Turn to right prohibited,"Turn to left
prohibited",2,
45,Drunken driving,allowed in private vehicles,allowed during night time,prohibited in all vehicles.,,3,
46,The following sign represents..,End of restriction,Do not stop,No parking,No Entry,3,
47,Use of horn prohibited,"Mosque, Church and Temple","Near Hospital, Courts of Law",Near Police Station,,2,
48,The sign represents,Go straight,One-way,Prohibited in both direction,,2,
49,Rear view mirror is used,for seeing face,for watching the traffic approaching from behind ,for seeing the back seat passenger,,2,
50,The sign represents,No entry for motor vehicles,No entry for cars and motor cycles,Entry allowed for cars and motor vehicles,,2,
51,Boarding in and alighting from a vehicle while in motion,Permitted in bus,permitted in autorikshaw,prohibited in all vehicles,,3,
52,The sign represents,Trucks Prohibited,Bus Prohibited,Heavy vehicles Prohibited,,1,
53,Parking is permitted,In turnings,On foot paths,Where parking is not prohibited,,3,
54,The sign represents,Bullock cart prohibited,Cycle prohibited,All vehicles prohibited,,1,
55,When fuel is filled in a vehicle,shall not check air pressure,shall not smoke,shall not use any light of the vehicle,,2,
56,The sign represents,Students prohibited,Pedestrians permitted,Pedestrians prohibited,Parking Prohibited,3,
57,Mobile phones shall not be used,in Government offices,in Police Stations,While driving a vehicle,,3,
58,The sign represents,Overtaking prohibited through the right side,Turn left,Left turn Prohibited,,3,
59,Overtaking is prohibited,When the road ahead is not clearly visible,when the road ahead is wide enough,when the road center is marked with white  broken lines,,1,
60,The sign represents,Drive the vehicle not exceeding 50 km/hr.,Drive the vehicle at 50 km/hr,drive the vehicle exceeding 50km/hr.,,1,
61,The pedestrians shall not cross the road at sharp bends or very near to a stopped vehicle. Why?,Inconvenience to other vehicles.,Inconvenience to other road users.,Drivers of other vehicles coming at a distance  may not see persons crossing the road.,,3,
62,The sign represents,Speed limit 2km/hr,No entry for vehicles having more than 2 meters width.,No entry for vehicles having more than 2 meters height,,2,
63,Records of a private vehicle are,"Registration Certificate, G.C.R., Insurance  Certificate","Registration certificate., Insurance Certificate,  Tax Token, Driving Licence","Registration Certificate, Permit, Trip Sheet",None of Above,2,
64,The sign represents,Entry only for vehicles with height  above  3.5 meters .,Entry only for vehicles with width  above  3.5 meters .,Entry for vehicles having height not exceeding  3.5 meters.,,3,
65,"While turning to a road to the left of the road in which you are going, you should","Show the left turn signal, drive to the center and turn to the left", Sound horn and turn to the left,"Show the left turn signal, keep to the left side of  the road and turn to the left.",,3,
66,The sign represents,Stop,No Stopping or standing, Junction,No Parking,2,
67,Validity of P.U.C.C. Pollution Under Control   Certificate,6 months,One Year,Two years,3 Years,1,
68,The sign represents,No entry,Ahead only,Entry in both direction,One-Way,2,
69,"While you are driving with the head light in high beam during night, a vehicle approaches from  opposite direction, you will",Proceed keeping to the left,Put the head light in dim and bright alternatively several times,Dim the head light till the vehicle passes,,3,
70,The sign represents,Compulsory ahead or turn right,Compulsory ahead or turn left,Side road ahead,Entry in both direction,2,
71,The Driver of a vehicle extends his right arm with the palm downward and moves the arm upward  and downward several times.You will understandthat,He is turning to the left,He is slowing down the vehicle,Allowing to overtake,,2,
72,The sign represents,Stop on the left side,Compulsory keep left,Turn left,Stop on the right side,2,
73,Minimum age for getting a licence to drive              motor cycle without gear,18 years,21 years,16 years,,3,
74,The sign represents,Right ascend,Right hand curve,Keep right,Left hand curve,2,
75,"When you see the traffic sign School, you should","Stop the vehicle, sound horn and proceed.",Slow down and proceed with caution,Sound horn continuously and proceed,,2,
76,The sign represents,Left hand curve,Left ascend,Keep left,Keep right,1,
77,"While turning to the left, the driver of a two  wheeler shall",Extend his left hand towards left,Not show hand signal,Show left turn signal with his right hand,,3,
78,The sign represents,Right hair pin bend,Right ascend and descend,Right descend,,1,
79,The Signal while taking U-turn,Left turn signal,Right turn signal,Slow down signal,,2,
80,The sign represents,Left descend,Left hair pin bend,Keep left,,2,
81,The driver of a vehicle shall not take U-turn,In a road where there is no traffic restrictions,In a busy road,When there are vehicles passing through the left,,2,
82,The sign represents,Right reverse bend,Left reverse bend,Turn right and go ahead,Road closed ahead,1,
83,One time tax for a new car is for,Till the registration of the vehicle is cancelled,15 years,5 years,,2,
84,The sign represents,Right reverse bend,Left reverse bend,Turn left and go ahead,,2,
85,"Before overtaking a vehicle, it should be ensured that …..",No vehicle is approaching from behind,The road ahead is clearly visible and it is safe to overtake,The vehicle in front is turning left.,,2,
86,The sign represents,Side road left,Speed limit,Axle weight limit,,3,
87,Number of persons can be carried in the cabin of a Goods Carriage,5 Persons,Sufficient persons for loading and unloading the goods,As many persons as recorded in the Registration Certificate,,3,
88,The sign represents,Turn right,Side road right,Keep right,,2,
89,"When your vehicle is being  overtaken,                     you  should",Stop your vehicle and let the vehicle to overtake,Increase the speed of your vehicle,Not obstruct the other vehicle from over taking,,3,
90,The sign represents,Major Road ahead,Cross Road ahead,Narrow road ahead,No entry ahead,1,
91,A place where parking is prohibited,In front of a parked vehicle,On one-way road,On foot-path,,3,
92,The sign represents,Turn right,Turn left,Round about,,3,
93,The hand brake is to be used,To reduce the speed,To apply sudden brake,To park a vehicle,None of Above,3,
94,The sign represents,Narrow road ahead,Dangerous dip,Ferry,,2,
95,More than two persons  on a two wheeler is,Allowed in unavoidable circumstances,Violation of law,Allowed when the traffic is less,"Yes, if they
wear helmate",2,
96,The sign represents,Guarded level cross,Unguarded level cross,Barrier ahead,,1,
97,You want to overtake a vehicle near a hospital.  You will,Blow the horn continuously.,Not blow horn.,Blow the horn only intermittently.,,2,
98,The sign represents,Y-inter section left,Y-inter section right,Side road left,,1,
99,Using unregistered vehicle in public place is,Illegal,Legal,Legal if there is urgency,,1,
100,The sign represents,Y-inter section left,Y-inter section right,Side road right,,2,
101,Minimum age for obtaining driving licence for  transport vehicles.,25 years,18 years,20 years,16 years,3,
102,The sign represents,Turn left,Turn right,Y-inter section,,3,
103,Overtaking is prohibited in the following case,State highway,Panchayath roads.,Narrow bridge.,,3,
104,The following sign represents..,Road to the right in front,There are roads ahead and to the right,Compulsory go ahead or turn to right,,3,
105,"If a person in charge of an animal apprehending that the animal may become unmanageable, request to stop a vehicle.",The driver shall stop the vehicle.,"The driver shall proceed, blowing the horns.",The driver shall reduce the speed.,,1,
106,The sign represents,Slippery road,Gravel road,No entry for motor car,,1,
107,Parking prohibited in the following case ..,road side.,where parking is permitted.,near traffic light.,,3,
108,The sign represents,Loose gravel,Slippery road,No entry for motor car,,1,
109,Over speeding……,is an offence leading to suspension  or cancellation of driving licence,is an offence leading to punishment by fine only  ,is not an offence,,1,
110,The sign represents….,Cycle crossing,Cycle crossing prohibited,No entry for cycles,,1,
111,When school buses are stopped for picking up or setting down students….,Blow horn and proceed,proceed slowly and cautiously since there is  chance of  students suddenly crossing the road,No special care is required,,2,
112,The sign represents…..,Cattle prohibited,Possibility of cattle on road,Vehicles carrying cattle prohibited,,2,
113,When a blind person crosses the road holding   White Cane….,The driver of a vehicle shall consider the white  cane as a traffic sign to stop the vehicle,Blow the horn and proceed,Slow down and proceed with caution,,1,
114,The sign represents…..,School ahead,Pedestrians crossing,Pedestrians crossing prohibited,,1,
115,When a motor vehicle is involved in an accident…..,shall report to the nearest police station within  24 hours,shall report to the nearest police station within 12 hours,shall report to the nearest police station within  48 hours,,1,
116,The sign represents….,Men at work,Children playing,Pedestrian crossing,,1,
117,When any property of a third party is damaged  due to an accident….,driver shall report to the nearest police station within 24 hours,driver shall report to the nearest police station  within 7 days,need not report to any police station,,1,
118,The sign represents…,Rough road,Slippery road,Falling rocks,,3,
119,When the vehicle behind has begun to over take our vehicle…., We shall not overtake another vehicle.,we can over take another vehicle.,we can overtake another vehicle blowing horn,,1,
120,The sign represents…..,Bridge ahead,Ferry,Refreshment stall ahead,,2,
121,The driver of the vehicle in front has not given  signal for over taking……,We can overtake,we shall not overtake,we can overtake blowing horn,,2,
122,The sign represents….,Steep ascend,Steep descend,Slippery road,,1,
123,When our vehicle is being over taken….,We shall not increase speed,We can increase speed,We can increase speed with due care,,1,
124,The sign represents…..,Steep ascend,Steep descend,Slippery road,,2,
125,Parking is prohibited in the following place…..,Entrance of hospital,Left side of the road,Market area,,1,
126,The sign represents…..,Narrow road ahead,Y-intersection,Road widens ahead,"Narrow bridge
ahead",3,
127,Parking is prohibited in the following place…..,blocking a fire hydrant,near a public well,left side of the road,,1,
128,The sign represents…,Drainage in middle,Bridge ahead,Gap in median,All of the above,3,
129,To carry pillion rider on a motor cycle….,"the vehicle shall be provided with foot rest, hand grip and sari guard",the vehicle shall be provided with side car,vehicle shall be provided with rear view mirror,,1,
130,The sign represents…,Hump or rough road,Zigzag road,Ghat road,,1,
131,Smoking while driving public service vehicle…,can attract suspension of driving licence,can attract fine only,None of the above,,1,
132,The sign represents…,Barrier ahead,Railway cross ahead,Weighbridge ahead,,1,
133,Abandoning vehicle in a public place causing in  convenience to others or passengers……,the driving licence is liable to be suspended or     cancelled,only fine is attracted,None of the above,,1,
134,The sign represents….,No thorough side road,Left turn,Bridge ahead,,1,
135,"Abandoning a transport vehicle as a mark of  protest or agitation or any kind of strike, in a  public place or in any other place causing  obstruction or inconvenience to the public or  passengers or other users of such places…",the driving licence is liable to be suspended or     cancelled,only fine is attracted,Legitimate right of driver,,1,
136,The sign represents….,Ferry ahead,Main road ahead,No thorough road,None of Above,3,
137,Carrying overload in goods carriages….,legally not punishable,Only fine is attracted,can attract suspension or cancellation of driving  licence,,3,
138,The sign represents…,Parking prohibited,Parking both sides,Police aid post,,2,
139,The driver of a taxi refusing the offer for journey for the reason that the distance is short…,can attract suspension / cancellation of driving  licence,only fine is attracted,None of the above,,1,
140,The sign represents…,Parking lot - scooters and motor cycles,Scooters and motor cycles prohibited,Scooters and motor cycles repairing,,1,
141,"When you reach an intersection where there is  no signal light or police man, you will…",Give way to traffic approaching the intersection  from other roads,"Give proper signal, sound the horn and proceed",Give way to the traffic approaching the intersection on your right side and proceed after giving  necessary signals.,,3,
142,The sign represents…,No entry for private cars,Parking lot - Taxis,Parking for police vehicles,,2,
143,"While you are approaching an intersection           where the yellow signal light is blinking, you         should….","As there is no restriction,  proceed at the same       speed",Stop the vehicle and wait for the green light to  appear,Slow down the vehicle and proceed only after  ensuring that it is safe to do so,"Increase speed 
of the vehicle
and proceed
safely",3,
144,The sign represents…,Petrol pump,Parking lot - Autorikshaws,Autorikshaw parking prohibited,,2,
145,Where the road is marked with continuous  yellow line the vehicle should…,Not touch or cross the yellow line,Allow to overtake only through the right side of  yellow line,Cross the line only when overtaking a vehicle in  front,,1,
146,The signal represents….,Request to stop the vehicle coming behind,Intends to turn right,Request to stop the vehicle from opposite  direction,,2,
147,"While you are driving on gradient roads,  you  should….",Give precedence to the vehicles coming down        the hill,Give precedence to the vehicles going up the hill,Give precedence to the vehicles carrying heavy  load,,2,
148,The signal represents…,Intends to turn left,Intends to turn right,Request to stop all other vehicles,,1,
149,The driver of a tractor shall not carry…..,Any person other than the driver.,More than three persons other than the driver.,More than two persons including the driver.,,1,
150,The signal represents…,Intends to turn right,Request to stop the vehicle coming from  opposite direction,Intends to slow down the vehicle,,3,
151,"While a vehicle entering a main road from a  branch road, the driver shall give preference…",To the vehicles coming from the left,To the vehicles coming from the right,To all vehicles proceeding along the main road,,3,
152,The signal represents…,Intends to go straight,Intends to stop the vehicle,Intends to turn right,,2,
153,You can overtake a vehicle through the left side if…,The driver of that vehicle indicates his intention  to turn  right and proceeds to the center of the  road,There is sufficient space on the left side,That vehicle moves slowly,,1,
154,The signal represents…,Request to stop the vehicle from behind,Request to pass the vehicle from behind,Request to stop the vehicle from front,"To stop vehicles 
coming from
right",1,
155,"What is ""Tail-gating"" ?",Driving too close behind a vehicle in a dangerousmanner.,Keeping safe distance from the vehicle ahead  regulating the speed proportionately.,Keeping a distance of atleast  7  metres from the vehicle ahead.,,1,
156,The signal represents…,Request to pass the vehicles coming from the left ,Request to pass the vehicle coming in opposite  direction,Request to stop the vehicle from behind and front,"To stop
vehicles
approaching
from behind",3,
157,"A vehicle can be seized by authorised officers, if…",The vehicle is not covered by a valid registration or permit,The vehicle is not covered by a  valid insurance,The vehicle exceeds the speed limit,,1,
158,The signal represents…,Request to stop the vehicle from front,Request to stop the vehicle from behind,Request to pass the vehicle from front,,1,
159,Type of horn permitted….,Air- horn,Multi-toned horn,Electric horn,,3,
160,Road on which driving in reverse gear is  prohibited…,One-way road,Steep descending road,Steep ascending road,,1,
161,"If drunken driving is detected, the driver is liable to be punished with…",Imprisonment which may extent to 6 months or Rs.2000/- as fine or both,Imprisonment which may extent to 1 year or fine up to Rs.4000/- or both,2 years rigorous imprisonment,,1,
162,You hold a  learners licence for motor cycle ….,You will drive when the traffic is less,You will drive the vehicle only when an  instructor holding driving licence to drive motor cycle accompanies,You will not carry any other person on the motor cycle except for the purpose of getting instructions from an instructor who holds a valid driving  licence to drive motor cycle,"You will drive only
in day light.",3,
163,"When the yellow light at an intersection appear  on the signal light, the driver of a approaching  vehicle should…",Ensure safety and drive away,Slow down to stop,Sound horn and proceed,,2,
164,All motor vehicles must be covered by….,Life Insurance,Third party Insurance,Comprehensive Insurance,,2,
165,Minimum distance to be kept from the vehicle  going in front…,10 meter,5 meter,safe distance according to speed.,,3,
166,The number of passengers permitted to be taken in private vehicle is recorded in the…..,Registration Certificate,Tax Token,Permit,,1,
167,Overtaking is prohibited when …,the road is marked with broken center line in  white colour.,the road is marked with continuous center line in yellow colour.,vehicle is driven on a steep hill.,,3,
168,"If the road is marked with broken white lines,  you …",shall not change track.,can change track if required.,shall stop the vehicle.,,2,
169,Blinking red traffic light means…,stop the vehicle till green light glows.,stop the vehicle and proceed if safe.,reduce speed and proceed.,,2,
170,Maximum permitted speed of a motor car on  national high way in the state…,60 km/hour,70 km/hour,80 km/hour,,2,
171,What is defensive driving ?,Driving cautiously anticipating violation of trafficrules and road signs both by drivers and other  road users.,Driving with sole aim of reaching the destination with no regards to road signs.,Driving on the assumption that other road users will be cautious about their safety.,,1,
172,What is meant by  stop line?,A line with 5 centimeters width in white or yellowcolour at the approach of road junction or  pedestrian crossing,A line drawn through the center of the road in  yellow colour,A broken white line through the center of the  road,,1,
173,Before starting the engine of a vehicle….,Check radiator water level and engine oil level,Check head light,Check brake,,1,
174,Maximum permissible speed of  a motor cycle…,No Limit,50 Km/hr,60 Km/hr,,2,
175,The only vehicle which is permitted to be driven at a speed exceeding 60 Km/hr…,Motor Cycle,Motor Car,Stage Carriage,,2,
176,Maximum permissible speed of a motor car near educational institution …..,40 km/hour,25 km/hour,30 km/hour,,2,
177,Maximum permitted speed of trucks on national high way in the state….,50 km/hour,60 km/hour,70 km/hour,,2,
178,Maximum permissible speed of a two wheeler   near educational institution….,25 km/hour,30 km/hour,40 km/hour,,1,
179,Projection of load upto one metre (100 cms)  towards back is permitted…..,in tractor,in stationwagon,in goods carriages,,3,
180,When lorries are loaded…,The load can be projected to both sides  within  30 cm.,The load shall not project on both sides.,The load can be projected to both sides  within  50 cm.,,2,
181,Maximum length of load that can be projected  from the rear part of a goods carriage….,150 cm,100 cm,120 cm,,2,
182,Maximum permissible speed of  heavy motor  vehicles in the cities……..,35 Km/hr,45 Km/hr,60 Km/hr,,2,
183,Maximum distance allowed between towing and towed vehicles…..,15 meters,5 meters,10 meters,,2,
184,Maximum permissible speed of a motor cycle in  cities….,40 km/hour,30 km/hour,50 km/hour,,1,
185,"You are driving on a two-lane street, vehicle in     front of you is moving very slowly and the road  ahead is clear for overtaking, you should  .. ..",Pass the vehicle from the left hand side.,Pass the vehicle from the right hand side.,Pass the vehicle from any convenient side. ,,1,
186,Maximum speed permitted for vehicles towing  another vehicle…….,20 km/hour,24 km/hour,32 km/hour,,2,
187,Motor vehicle which is not permitted to drive in  ghat roads at a speed of  more than 30 Km/h…….,heavy passenger vehicle,motor car,Autorickshaw,,2,
188,Circumstances in which a motor cycle can be  driven at the speed of 60 km/hour…..,During night .,During day time.,Under no circumstances.,,3,
189,The maximum speed permitted for motor cycles  in city during night time….,25Km/hr,30 Km/hr,40 Km/hr,,2,
190,Maximum permitted weight that can be carried  on a goods carriage….,No limit,allowed as per permit,10 ton,,2,
191,The minimum fine for over - loading in goods  carriage….,Rs- 1000/-,Rs- 2000/-,Rs- 3000/-,,2,
192,Maximum permissible speed of an autorickshaw near educational inistitution….,35 km/hour,25 km/hour,20 km/hour,,2,
193,Maximum permissible speed of a light motor  vehicle near educational institution….,45 km/hour,35 km/hour,25 km/hour,,3,
194,Maximum permissible speed of motor car on  ghat roads….,40 km/hour,30 km/hour,20 km/hour,,1,
195,Maximum permissible speed of motor cycle on  ghat roads….,30 km/hour,35 km/hour,40 km/hour,,3,
196,Maximum permissible speed of an autorickshaw….,50  Km/hr,30 Km/hr,40 Km/hr,,3,
197,Maximum permissible speed of a light motor  vehicle….,60 Km/hr,70 Km/hr,No limit,,1,
198,Maximum permissible speed of a medium motorvehicle…,80 Km/hr,65 Km/hr,70 Km/hr,,2,
199,According to section 112 of the Motor Vehicles  Act  1988…,Speed limit shall not be exceeded,Shall not drive after consuming alcohol,Shall not use vehicle on road without paying tax,,1,
200,Section  113  of the Motor Vehicle  Act 1988  stipulates that the driver should not drive a  vehicle…..,After consuming alcohol.,Exceeding the speed limit,Exceeding the weight permitted to carry,,3,
201,Maximum speed allowed to vehicles passing a  procession….,15 KM/hr,25 KM/hr,35 KM/hr,,1,
202,The height limit of load on goods vehicle from  ground level…..,3.8 meters,3 meters,no limit.,,1,
203,Maximum permissible speed of heavy motor  vehicle near education inistitution….,35 km/hour,25 km/hour,15 km/hour,,3,
204,Maximum permissible speed of heavy passenger motor vehicle  near educational institution …..,35 km/hour,25 km/hour,15 km/hour,,3,
205,According to section 129  of Motor Vehicle  Act 1988 a person driving a motor cycle shall….,wear jerkins,wear helmet,wear shoes,,2,
206,Maximum permissible speed of a medium motor vehicle near educational institution….,15 km/hour,25 km/hour,35 km/hour,,1,
207,Maximum permissible speed of autorickshaws  on ghat road…..,30 km/hour,40 km/hour,20 km/hour,,1,
208,Maximum permissible speed of heavy motor  vehicles on ghat roads….,35 km/hour,25 km/hour,15 km/hour,,1,
209,Maximum permissible speed of autorikshaw in  cites and municipal towns…..,40 Km/hr,30 Km/hr,20 cm,,2,
210,Maximum permissible speed of heavy motor  vehicles….,70 Km/hr,65 Km/hr,50 Km/hr,,2,
211,Maximum permissible speed of medium motor  vehicles on ghat roads…,45 km/hour,35 km/hour,25 km/hour,,2,
212,"You wish to take ""U"" turn at an intersection controlled by a traffic light you should ….",Drive to another intersection that has no traffic  light,"Wait until the light turns green before making  the ""U"" turn","Make the ""U"" turn if there is a policeman at the  intersection",,3,
213,Zig-Zag driving is….,Dangerous to two-wheelers only,Dangerous to all at all times,Dangerous to four-wheelers vehicles,,2,
214,You are on a long downhill slope. What should you do to help control the speed of your vehicle ?,change to low gear,Stop the Engine,select neutral,,1,
215,To supervise a learner driver you MUST….,Be an approved driving instructor,Hold a Driving licence,Hold a learner’s licence,,1,
216,While on a round about,traffic entering has right of way,traffic existing has right of way,traffic on the roundabout has right of way,,3,
217,It is essential to wear a helmet while driving a two-wheeler because….,It is for your individual safety,Otherwise you will be caught by the traffic police,It is necessary for uniformity on the road,,1,
218,When you shall sound the horn of your vehicle ?,to give you right of way,to warn other drivers of your presence,to attract a friend’s attention,,1,
219,You are behind a bus that has stopped to pickup or drop off passengers you should…..,wait behind patiently,overtake from the left,overtake from the pedestrians,,1,
220,You are overtaking a car at night. You must ensure that….,you do not dazzle other road users,you flash headlamps before overtaking,your rear fog lights are switched on,,2,
221,The middle lane is for….,overtaking,two wheelers,traffic at 40 km/h,,3,
222,A flashing yellow signal is used when…..,traffic lights aren’t working,you should slow down & proceed with caution,men are at work,,2,
223,You  stop  for  pedestrians  waiting  to  cross   at   a           zebra crossing. They do not start to cross. What should    you do ?,sound your horn,be patient and wait,drive on,,2,
224,You are allowed to park….,on a footpath,at top of a hill,neither of these two alternatives,,3,
225,A high beam in foggy conditions….,is good because you can see more,is bad because it reflects back and can dazzle,make sure others can see you,,2,
226,Dipping your lights is necessary when…..,you want to overtake,it is foggy,following a vehicle,"Overtaking not 
permitted",2,
227,When  approaching  a  crossing  where you are  to  go       straight….,change lanes to the right lane,change lanes at least 50 mts ahead to the middle lane,change lanes to the middle lane at the crossing,,2,
228,"You are driving. A vehicle comes up quickly behind, flashing head lamps. You should…..",accelerate to maintain gap behind you,touch the breaks to show your brake lights,"allow the vehicle to over take, if safe",,3,
229,When must you use a dipped high beam headlight during the day ?,in poor visibility and highways,on country roads,along narrow streets,,1,
230,You are driving in rain. Why should you keep well back from the vehicle in front ?,in case it changes direction suddenly,in case its fog lights dazzle you,in case it stop suddenly,,3,
231,What can cause hard steering,badly worn tyre,over inflated tyre,under inflated tyre,,3,
232,Motor cyclists usually cause hazard by,Speed more than permitted,passing very close to you by driving in the zig zag manner,all of the above,,3,
233,"You are waiting at a T-Junction, A vehicle is coming from the left with right signal flashing, you should",accelerate hard and move forward ,move forward slowly,wait until the vehicle turn to right side,,3,
234,While you reach a junction with limited visibility you should,look both ways and move carefully,look at right and move slowly,move quickly,,1,
235,You should switch on your hazard warning lights,When you are moving straight,When your vehicle is parked and the same is causing inconvenience to other road users,when your vehicle  parked at a no parking area,,2,
236,"You are driving on a well-lit motor way at night, you must",use your head light on high beam,always use your head lights in low beam,always use hazard light,Switch off all lights,2,
237,Anti lock braking system prevents wheels from locking. This avoid tyres to ,Puncture,skid,wear,,2,
238,"While travelling over motor way at night with other vehicles just ahead, better the switched on lights should be",hazard warning light,low beam head light,high beam head light,,2,
239," A cyclist is signalling to turn right and drawn to center of the road, you should ",over take through left side,sound horn continually,overtake through right side only,,1,
240,Driving at high speed,gives you better fuel efficiency,take less time for your journey,reduces time to react to hazard,,3,
241,"While driving, avoid",observing traffic rules,reacting to wrong behaviour of other drivers,observing the dash board guages,,2,
242,The continuous yellow line in the centre of the road means,no parking,do not over take ,stop,,2,
243,In this carriage way you can drive,above 50 km/hr,below 50 km/hr.,up to a maximum legal speed permitted to your vehicle,,2,
244,When you approach a bridge you should,slow down and do not over take,beware of pedestrians,switch on the head lights,,1,
245,"When approaching a right hand curve, you should keep well to the left to",improve your view of the road ,avoid skid,to pass the vehicle from behind,,1,
246,"While you are approaching a staggered junction, You should ",slow the vehicle ,maintain your speed and sound the horn,use hazard warning light,,1,
247,At the Blind Junction you must stop,only if there is traffic on the main road,behind the line and move forward slowly as vision improves,only if you are turning to the right,,2,
248,"You entered  a one-way in the opposite direction unknowingly, you should",reverse out of the road,Turn back carefully and drive away,continue to the end of the road,,2,
249,"While driving through a main road another vehicle is reversing from a side road, You should",Move to the opposite side of the road,speed up and drive through quickly,sound your horn and be prepared to stop,,3,
250,"Approaching a cross road, the driver of the long vehicle ahead of you, signals right and moves to left, You should",sound horn and warn the driver,wait behind the vehicle,over take on the right hand side,,2,
